F2023/10/22 14:12:51

2022/10/1,29.2,8,1,19.8,8,1,24.2,8,1
2022/10/2,30.5,8,1,19.3,8,1,24.6,8,1
2022/10/3,29.6,8,1,20.5,8,1,24.9,8,1
2022/10/4,30.5,8,1,22.7,8,1,26.6,8,1
2022/10/5,26.8,8,1,17.8,8,1,21.0,8,1
2022/10/6,22.2,8,1,17.5,8,1,19.1,8,1
2022/10/7,18.3,8,1,15.0,8,1,16.7,8,1
2022/10/8,21.8,8,1,14.9,8,1,18.2,8,1
2022/10/9,20.1,8,1,14.4,8,1,16.5,8,1
2022/10/10,20.9,8,1,16.9,8,1,18.9,8,1
2022/10/11,22.8,8,1,14.4,8,1,18.5,8,1
2022/10/12,20.0,8,1,15.5,8,1,17.7,8,1
2022/10/13,25.4,8,1,15.8,8,1,20.2,8,1
2022/10/14,27.1,8,1,16.7,8,1,21.2,8,1
2022/10/15,27.5,8,1,17.0,8,1,21.5,8,1
2022/10/16,28.5,8,1,17.4,8,1,22.8,8,1
2022/10/17,22.8,8,1,18.8,8,1,20.4,8,1
2022/10/18,22.9,8,1,14.6,8,1,18.2,8,1
2022/10/19,22.2,8,1,12.2,8,1,16.7,8,1
2022/10/20,22.9,8,1,12.0,8,1,16.9,8,1
2022/10/21,23.6,8,1,12.3,8,1,18.5,8,1
2022/10/22,24.9,8,1,17.0,8,1,20.8,8,1
2022/10/23,24.1,8,1,16.6,8,1,19.9,8,1
2022/10/24,21.2,8,1,12.9,8,1,15.9,8,1
2022/10/25,21.1,8,1,12.1,8,1,15.3,8,1
2022/10/26,21.2,8,1,10.4,8,1,15.5,8,1
2022/10/27,18.6,8,1,11.2,8,1,14.6,8,1
2022/10/28,22.2,8,1,11.5,8,1,16.5,8,1
2022/10/29,20.9,8,1,12.7,8,1,16.1,8,1
2022/10/30,20.3,8,1,10.6,8,1,15.1,8,1
2022/10/31,21.2,8,1,10.3,8,1,15.4,8,1
